group,metric,value,notes
exact_potential,matched_peak_count,7.0,potential_gap_mV == 0
exact_potential,unique_sample_count,5.0,potential_gap_mV == 0
exact_potential,centre_MAE_cm1,0.8077839672974473,Mean absolute peak-centre error.
exact_potential,centre_median_absolute_error_cm1,0.8687295970203195,Median absolute peak-centre error.
exact_potential,centre_max_absolute_error_cm1,1.4770968362811345,Largest peak-centre error.
exact_potential,height_MAE,0.03252807118934065,Mean absolute peak-height error.
exact_potential,height_median_absolute_error,0.028849146801050794,Median absolute peak-height error.
exact_potential,height_mean_relative_error_percent,73.94099817795258,Mean row-wise relative height error; can be inflated by very small manual heights.
exact_potential,height_normalized_aggregate_error,0.632648435234877,sum(abs(arPLS-manual)) / sum(abs(manual)); more stable than averaging row-wise percentages.
within_25mV,matched_peak_count,25.0,potential_gap_mV <= 25
within_25mV,unique_sample_count,13.0,potential_gap_mV <= 25
within_25mV,centre_MAE_cm1,0.8294136661074936,Mean absolute peak-centre error.
within_25mV,centre_median_absolute_error_cm1,0.9452359539880035,Median absolute peak-centre error.
within_25mV,centre_max_absolute_error_cm1,1.4770968362811345,Largest peak-centre error.
within_25mV,height_MAE,0.022508411841938848,Mean absolute peak-height error.
within_25mV,height_median_absolute_error,0.017358346150296904,Median absolute peak-height error.
within_25mV,height_mean_relative_error_percent,82.00282127800281,Mean row-wise relative height error; can be inflated by very small manual heights.
within_25mV,height_normalized_aggregate_error,0.6019193205918226,sum(abs(arPLS-manual)) / sum(abs(manual)); more stable than averaging row-wise percentages.
within_50mV,matched_peak_count,28.0,potential_gap_mV <= 50
within_50mV,unique_sample_count,14.0,potential_gap_mV <= 50
within_50mV,centre_MAE_cm1,0.8517609462371557,Mean absolute peak-centre error.
within_50mV,centre_median_absolute_error_cm1,0.9566315391416538,Median absolute peak-centre error.
within_50mV,centre_max_absolute_error_cm1,1.6726614800682,Largest peak-centre error.
within_50mV,height_MAE,0.022185128759074142,Mean absolute peak-height error.
within_50mV,height_median_absolute_error,0.01642201662310835,Median absolute peak-height error.
within_50mV,height_mean_relative_error_percent,82.39099974203704,Mean row-wise relative height error; can be inflated by very small manual heights.
within_50mV,height_normalized_aggregate_error,0.6099483565268513,sum(abs(arPLS-manual)) / sum(abs(manual)); more stable than averaging row-wise percentages.
